,precision,recall,f1-score,support
0,0.9957699302470131,0.9984572917969088,0.9971118003175388,519865.0
1,0.9953936901596127,0.9874367564610966,0.991399258053721,175512.0
accuracy,0.9956757269797535,0.9956757269797535,0.9956757269797535,0.9956757269797535
macro avg,0.9955818102033129,0.9929470241290027,0.9942555291856299,695377.0
weighted avg,0.9956749678737682,0.9956757269797535,0.9956699641368668,695377.0
