

"Host:","ubuntu-pc",,,,"User:","noooberino"
"Cmdline:","dstat --epoch --cpu-adv --disk --mem-adv --top-io-adv --output /home/noooberino/Git/BSc-e1027075/logs/dstat.csv",,,,"Date:","18 Dec 2020 12:05:57 CET"
"epoch","total cpu usage",,,,,,,"dsk/total",,"advanced memory usage",,,,,,,,"most expensive i/o process"
"epoch","usr","sys","idl","wai","hiq","siq","stl","read","writ","total","used","free","buff","cach","dirty","shmem","recl","process              pid  read write cpu"
1608289557.272,3.599,0.959,95.309,0.026,0,0.107,0,362248.137,283128.141,16797126656,6547070976,4432539648,719093760,4658515968,372736,768126976,1208033280,Top: conky	209695.61990565315	15489.388777391196	0.13815956195325593
1608289558.272,2.092,0.502,97.322,0,0,0.084,0,0,0,16797126656,6581415936,4398194688,719093760,4658524160,958464,768135168,1208033280,Top: tracker-extract	3553892.0	4128.0	0.8333333333333334
1608289559.273,0.669,0.334,98.997,0,0,0,0,0,0,16797126656,6582882304,4396728320,719093760,4658524160,958464,768135168,1208033280,Top: conky	227056.0	15500.0	0.16666666666666666
1608289560.273,0.586,0.335,99.079,0,0,0,0,0,0,16797126656,6583595008,4396015616,719093760,4658524160,962560,768135168,1208033280,Top: conky	227048.0	15500.0	0.08333333333333333
1608289561.273,1.003,0.418,98.580,0,0,0,0,0,0,16797126656,6571667456,4407943168,719093760,4658524160,962560,768135168,1208033280,Top: conky	227058.0	15500.0	0.25
1608289562.273,0.503,0.419,99.078,0,0,0,0,0,0,16797126656,6571765760,4407844864,719093760,4658524160,966656,768135168,1208033280,Top: conky	227054.0	15500.0	0.08333333333333333
1608289563.273,0.669,0.334,98.746,0,0,0.251,0,0,73728,16797126656,6571909120,4407693312,719101952,4658524160,1015808,768135168,1208033280,Top: conky	227061.0	15500.0	0.16666666666666666
1608289564.273,0.917,0.834,98.249,0,0,0,0,0,0,16797126656,6573522944,4406079488,719101952,4658524160,1015808,768135168,1208033280,Top: conky	228833.0	15500.0	0.08333333333333333
1608289565.273,0.668,0.334,98.914,0,0,0.084,0,0,0,16797126656,6573797376,4405805056,719101952,4658524160,1015808,768135168,1208033280,Top: conky	227055.0	15500.0	0.16666666666666666
1608289566.273,1.003,0.334,98.495,0,0,0.167,0,0,0,16797126656,6542344192,4437254144,719101952,4658528256,1019904,768135168,1208033280,Top: bash	8263384.0	663.0	0.0
1608289567.272,0.928,0.338,98.734,0,0,0,0,0,0,16797126656,6542544896,4437053440,719101952,4658528256,1019904,768135168,1208033280,Top: conky	226592.0	15500.0	0.16666666666666666
1608289568.273,2.271,0.673,97.056,0,0,0,0,0,69632,16797126656,6527967232,4451618816,719114240,4658524160,1019904,768131072,1208033280,Top: systemd	3554381.0	4176.0	0.0
1608289569.273,1.003,0.669,98.328,0,0,0,0,0,0,16797126656,6541942784,4437643264,719114240,4658524160,1019904,768131072,1208033280,Top: conky	226125.0	15500.0	0.08333333333333333
1608289570.273,1.347,0.337,98.316,0,0,0,0,0,0,16797126656,6542532608,4437053440,719114240,4658524160,1019904,768131072,1208033280,Top: conky	226122.0	15500.0	0.16666666666666666
1608289571.273,1.177,0.505,98.318,0,0,0,0,0,0,16797126656,6542266368,4437319680,719114240,4658266112,1019904,767873024,1208033280,Top: conky	226124.0	15500.0	0.08333333333333333
1608289572.273,1.174,0.252,98.490,0,0,0.084,0,0,0,16797126656,6542700544,4436885504,719114240,4658524160,1019904,768131072,1208033280,Top: conky	226122.0	15500.0	0.25
1608289573.273,1.590,0.335,98.075,0,0,0,0,0,4096,16797126656,6529978368,4449607680,719114240,4658524160,1019904,768131072,1208033280,Top: conky	226123.0	15500.0	0.0
1608289574.272,1.088,0.753,98.159,0,0,0,0,0,0,16797126656,6529531904,4450054144,719114240,4658524160,1019904,768131072,1208033280,Top: conky	229533.0	15500.0	0.16666666666666666
1608289575.273,1.501,0.417,97.998,0,0,0.083,0,0,98304,16797126656,6530379776,4449189888,719130624,4658782208,1019904,768389120,1208033280,Top: conky	226130.0	15500.0	0.16666666666666666
1608289576.273,1.591,0.251,98.157,0,0,0,0,0,0,16797126656,6530355200,4449214464,719130624,4658524160,1048576,768131072,1208033280,Top: conky	226131.0	15500.0	0.16666666666666666
1608289577.272,0.755,0.419,98.826,0,0,0,0,0,0,16797126656,6530764800,4448804864,719130624,4658524160,1048576,768131072,1208033280,Top: conky	226134.0	15500.0	0.16666666666666666
1608289578.273,1.997,0.416,97.421,0,0,0.166,0,0,53248,16797126656,6529789952,4449779712,719130624,4658524160,1036288,768131072,1208033280,Top: conky	226136.0	15500.0	0.16666666666666666
1608289579.273,1.597,0.252,98.151,0,0,0,0,0,0,16797126656,6530273280,4449296384,719130624,4658524160,1036288,768131072,1208033280,Top: conky	226133.0	15500.0	0.08333333333333333
1608289580.273,1.921,0.418,97.494,0,0,0.167,0,0,143360,16797126656,6530269184,4449280000,719147008,4658528256,1073152,768131072,1208033280,Top: conky	227374.0	15500.0	0.16666666666666666
1608289581.273,5.017,0.585,94.231,0,0,0.167,0,0,0,16797126656,6529470464,4450078720,719147008,4658528256,1073152,768131072,1208033280,Top: conky	226134.0	15500.0	0.16666666666666666
1608289582.273,1.173,0.335,98.492,0,0,0,0,0,0,16797126656,6543175680,4436369408,719147008,4658532352,1077248,768131072,1208033280,Top: sublime_text	1028827.0	16900.0	0.16666666666666666
1608289583.272,1.087,0.418,98.411,0.084,0,0,0,0,172032,16797126656,6544216064,4435329024,719147008,4658532352,958464,768131072,1208033280,Top: conky	226168.0	15500.0	0.25
1608289584.272,1.169,0.668,98.164,0,0,0,0,0,0,16797126656,6544826368,4434718720,719147008,4658532352,987136,768131072,1208033280,Top: main	796488.0	917.0	0.08333333333333333
1608289585.272,1.089,0.503,98.409,0,0,0,0,0,65536,16797126656,6531305472,4448231424,719155200,4658532352,999424,768131072,1208033280,Top: conky	226133.0	15500.0	0.16666666666666666
1608289586.273,1.508,0.586,97.822,0,0,0.084,0,0,0,16797126656,6531309568,4448223232,719155200,4658536448,1003520,768131072,1208033280,Top: conky	226132.0	15500.0	0.08333333333333333
1608289587.272,1.175,0.252,98.489,0,0,0.084,0,0,0,16797126656,6531153920,4448378880,719155200,4658536448,1007616,768131072,1208033280,Top: conky	226134.0	15500.0	0.25
1608289588.273,1.504,0.752,97.744,0,0,0,0,0,864256,16797126656,6518902784,4460625920,719155200,4658536448,282624,768126976,1208033280,Top: systemd	4160722.0	371634.0	0.0
1608289589.273,1.263,0.421,98.316,0,0,0,0,0,0,16797126656,6519169024,4460359680,719155200,4658536448,114688,768126976,1208033280,Top: conky	225672.0	15500.0	0.08333333333333333
1608289590.273,2.441,0.505,96.886,0,0,0.168,0,0,0,16797126656,6518636544,4460892160,719155200,4658536448,135168,768126976,1208033280,Top: conky	225674.0	15500.0	0.16666666666666666
1608289591.272,1.430,0.505,97.981,0,0,0.084,0,0,0,16797126656,6518976512,4460552192,719155200,4658536448,135168,768126976,1208033280,Top: conky	225668.0	15500.0	0.08333333333333333
1608289592.273,0.671,0.335,98.994,0,0,0,0,0,102400,16797126656,6519279616,4460236800,719167488,4658536448,225280,768126976,1208033280,Top: conky	225670.0	15500.0	0.16666666666666666
